pair_name,homography_matrix,num_matches,num_inliers,inlier_ratio,avg_error,line_features,mural_features
A-1,"[[-1.27666122e-01 -8.18812488e-01  3.55362586e+02]
 [-2.56934404e-02 -1.67471773e-01  7.23710752e+01]
 [-3.57035553e-04 -2.30951147e-03  1.00000000e+00]]",172,7,0.040697674418604654,1.4097815796722395,2000,2002
A-2,"[[-1.51055731e-02 -4.56486895e-01  2.18622898e+02]
 [-3.55911480e-02 -1.13039702e+00  5.39652608e+02]
 [-6.58239941e-05 -2.09331913e-03  1.00000000e+00]]",183,11,0.060109289617486336,1.4761184845965665,2000,2001
A-3,"[[ 3.40849887e-01 -5.21837227e-01  1.76169039e+02]
 [-1.88513468e-01 -1.59929536e+00  4.95543993e+02]
 [-2.75646160e-04 -2.56076711e-03  1.00000000e+00]]",13,4,0.3076923076923077,2.1717303464587806e-13,2000,2000
B-1,"[[ 1.29960696e+00 -3.10735687e+00  6.84179326e+02]
 [ 5.75083403e-01 -1.35939148e+00  2.97272983e+02]
 [ 1.91185901e-03 -4.55485919e-03  1.00000000e+00]]",18,5,0.2777777777777778,1.0227684298770607,2000,2000
B-2,"[[ 1.80623738e-01 -1.05056344e+00  4.16544462e+02]
 [ 1.46523813e+00 -2.52103634e+00  4.31393262e+02]
 [ 2.23901809e-03 -4.14019679e-03  1.00000000e+00]]",19,6,0.3157894736842105,1.3055807667762207,2000,2002
B-3,"[[-1.62835055e+00  2.44655951e+00  3.92868107e+02]
 [-5.45747361e-01  7.89817472e-01  1.36954108e+02]
 [-3.68692533e-03  5.15690849e-03  1.00000000e+00]]",23,5,0.21739130434782608,0.7377534317892898,2000,2001
